City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,gunjur,13.2019,-16.7339,24.48,78,36,5.58,GM,1670272993
152,souillac,-20.5167,57.5167,25.21,78,40,4.63,MU,1670272993
153,kavieng,-2.5744,150.7967,27.34,78,99,2.17,PG,1670272953
154,ilulissat,69.2167,-51.1,4.01,48,75,2.57,GL,1670272994
155,pevek,69.7008,170.3133,-29.73,82,23,2.14,RU,1670272994
156,cabo san lucas,22.8909,-109.9124,29.78,58,20,4.12,MX,1670272739
157,marsabit,2.3284,37.9899,20.14,62,47,5.01,KE,1670272995
158,longyearbyen,78.2186,15.6401,-14.09,72,75,11.83,SJ,1670272995
159,leningradskiy,69.3833,178.4167,-26.68,91,4,2.26,RU,1670272996
160,sanok,49.5557,22.2056,6.35,100,94,2.93,PL,1670272754
161,ekhabi,53.5102,142.9671,-18.43,90,54,5.71,RU,1670272996
162,bad munstereifel,50.55,6.7667,0.66,96,100,1.37,DE,1670272996
163,tikapur,28.5,81.1333,12.69,72,0,1.56,NP,1670272997
164,san pedro,14.35,121.0167,25.75,89,20,0.51,PH,1670272997
165,thompson,55.7435,-97.8558,-27.91,63,40,4.12,CA,1670272859
166,inyonga,-6.7167,32.0667,18.21,84,100,1.46,TZ,1670272998
167,inirida,3.8653,-67.9239,26.12,91,88,1.37,CO,1670272861
168,asau,46.4333,26.4,-1.49,99,100,1.37,RO,1670272998
169,port blair,11.6667,92.75,26.02,83,75,2.06,IN,1670272529
170,anshun,26.25,105.9333,3.43,82,100,3.2,CN,1670272754
171,eyl,7.9803,49.8164,25.4,72,100,7.41,SO,1670272999
172,dekar,-21.5333,21.9333,28.15,23,6,1.73,BW,1670272999
173,hasaki,35.7333,140.8333,5.16,86,100,11.6,JP,1670273000
174,oktyabrskiy,54.4815,53.471,-21.07,100,95,0.73,RU,1670273000
175,goundi,9.3627,17.366,26.4,26,64,1.2,TD,1670273000
176,puerto leguizamo,-0.1934,-74.7819,31.77,49,94,0.69,CO,1670273001
177,georgetown,5.4112,100.3354,27.35,89,40,0.0,MY,1670273001
178,ha tinh,18.3333,105.9,16.26,81,100,2.67,VN,1670273002
179,salinas,36.6777,-121.6555,15.13,77,20,4.63,US,1670272701
180,lata,40.1629,-8.3327,12.82,92,100,1.45,PT,1670273002
181,kurilsk,45.2333,147.8833,-1.27,85,99,6.6,RU,1670272708
182,usinsk,65.9939,57.5281,-16.81,95,72,6.31,RU,1670273003
183,talara,-4.5772,-81.2719,26.42,61,0,6.17,PE,1670273003
184,grand gaube,-20.0064,57.6608,25.22,78,17,1.34,MU,1670272913
185,sambava,-14.2667,50.1667,24.31,85,32,4.87,MG,1670273004
186,fort nelson,58.8053,-122.7002,-20.03,59,40,2.06,CA,1670273004
187,puerto escondido,15.85,-97.0667,30.46,54,0,3.09,MX,1670273004
188,monrovia,6.3005,-10.7969,26.07,82,100,1.41,LR,1670273005
189,sangar,63.9242,127.4739,-30.05,95,100,1.92,RU,1670273005
190,odessa,46.4775,30.7326,1.98,73,100,5.78,UA,1670273006
191,myre,69.1036,15.9492,2.97,90,100,16.73,NO,1670273006
192,bubaque,11.2833,-15.8333,27.0,70,70,3.93,GW,1670273006
193,honiara,-9.4333,159.95,27.14,79,95,1.36,SB,1670273007
194,kungurtug,50.5994,97.5228,-27.68,95,17,0.59,RU,1670273007
195,belogorsk,50.9158,128.4611,-20.83,94,100,2.42,RU,1670272911
196,zhigansk,66.7697,123.3711,-28.55,98,100,0.96,RU,1670273008
197,puerto madero,14.7208,-92.4215,27.6,70,0,1.97,MX,1670273008
198,komsomolskiy,40.4272,71.7189,-0.6,86,100,3.09,UZ,1670273008
199,valparaiso,-33.0393,-71.6273,21.13,84,0,5.14,CL,1670272874
200,broome,42.2506,-75.833,5.92,45,0,4.63,US,1670273009
201,bossier city,32.516,-93.7321,24.27,77,100,6.17,US,1670272883
202,natal,-5.795,-35.2094,28.36,74,75,8.23,BR,1670272673
203,viedma,-40.8135,-62.9967,30.18,32,55,3.74,AR,1670273009
204,maragogi,-9.0122,-35.2225,24.93,85,39,5.09,BR,1670273010
205,sheregesh,52.9209,87.9869,-15.68,99,100,0.16,RU,1670273010
206,korla,41.7597,86.1469,-5.19,39,44,2.13,CN,1670273010
207,kyshtovka,56.555,76.6271,-21.73,100,92,1.46,RU,1670273010
208,cidreira,-30.1811,-50.2056,22.49,88,97,4.3,BR,1670273011
209,lagoa,39.05,-27.9833,16.23,68,100,4.88,PT,1670273011
210,rundu,-17.9333,19.7667,22.87,55,27,3.68,NA,1670273011
211,bardiyah,31.7561,25.0865,17.17,70,0,2.79,LY,1670273012
212,bandarbeyla,9.4942,50.8122,25.32,74,16,8.59,SO,1670272736
213,dunda,-8.1167,34.25,21.2,44,100,0.84,TZ,1670273012
214,pisco,-13.7,-76.2167,21.12,78,20,4.63,PE,1670272867
215,saint-joseph,-21.3667,55.6167,24.21,76,100,4.53,RE,1670273013
216,te anau,-45.4167,167.7167,8.96,97,100,1.68,NZ,1670273013
217,mnogovershinnyy,53.9353,139.9242,-21.31,88,72,2.86,RU,1670273013
218,constantine,36.365,6.6147,11.67,58,0,4.63,DZ,1670273014
219,nalut,30.3333,10.85,18.13,26,38,4.55,LY,1670273014
220,petropavlovsk-kamchatskiy,53.0452,158.6483,-17.67,66,20,3.0,RU,1670273014
221,nchelenge,-9.3451,28.734,20.92,85,100,1.85,ZM,1670273015
222,marawi,7.9986,124.2928,19.46,93,88,0.81,PH,1670273015
223,corinto,37.9407,22.9573,13.27,78,79,0.81,GR,1670273015
224,havelock,34.8791,-76.9013,14.97,76,0,4.63,US,1670273016
225,sistranda,63.7256,8.834,2.98,66,100,10.66,NO,1670273016
226,beringovskiy,63.05,179.3167,0.13,98,100,14.84,RU,1670273016
227,gold coast,-28.0,153.4333,23.91,87,3,4.12,AU,1670273017
228,chernyshevskiy,63.0128,112.4714,-18.21,87,100,4.55,RU,1670273017
229,east london,-33.0153,27.9116,16.01,85,5,4.34,ZA,1670273017
230,olafsvik,64.8945,-23.7142,4.19,77,18,1.81,IS,1670272967
231,cayenne,4.9333,-52.3333,28.02,78,70,2.06,GF,1670273018
232,hithadhoo,-0.6,73.0833,27.33,76,100,3.8,MV,1670273018
233,tirumullaivasal,11.2333,79.8333,25.28,75,89,4.9,IN,1670273018
234,isangel,-19.55,169.2667,30.06,74,55,0.51,VU,1670272807
235,ishigaki,24.3448,124.1572,19.07,94,100,8.23,JP,1670273019
236,nishihara,26.1842,127.7558,18.6,91,100,12.35,JP,1670273019
237,thinadhoo,0.5333,72.9333,27.2,76,100,3.1,MV,1670273020
238,kavaratti,10.5669,72.642,27.33,74,50,1.02,IN,1670272730
239,harper,4.375,-7.7169,25.78,85,67,2.36,LR,1670272728
240,kruisfontein,-34.0033,24.7314,14.94,90,1,3.47,ZA,1670273020
241,potenza,40.6443,15.8086,6.07,84,100,2.19,IT,1670273021
242,provideniya,64.3833,-173.3,1.06,75,100,13.0,RU,1670273021
243,correntina,-13.3433,-44.6367,22.26,89,100,1.89,BR,1670273021
244,domoni,-12.2569,44.5319,25.74,87,13,3.18,KM,1670273022
245,la libertad,-2.2333,-80.9,23.81,73,20,5.66,EC,1670273022
246,gazojak,41.1875,61.4036,-6.74,44,0,0.22,TM,1670273022
247,lufilufi,-13.8745,-171.5986,27.88,75,71,2.84,WS,1670273023
248,clyde river,70.4692,-68.5914,-9.87,92,100,0.0,CA,1670273023
249,benguela,-12.5763,13.4055,26.45,76,100,0.32,AO,1670273023
250,ahuimanu,21.4447,-157.8378,27.01,76,20,1.79,US,1670273024
251,vetluzhskiy,58.3902,45.4654,-12.97,91,99,2.35,RU,1670273024
252,severobaykalsk,55.65,109.3167,-13.54,81,100,3.71,RU,1670273024
253,alofi,-19.0595,-169.9187,26.94,89,75,4.12,NU,1670273025
254,nhulunbuy,-12.2333,136.7667,24.34,88,67,0.0,AU,1670273025
255,yellowknife,62.456,-114.3525,-30.25,69,20,4.12,CA,1670272738
256,padang,-0.9492,100.3543,24.6,89,100,1.9,ID,1670273025
257,kudahuvadhoo,2.6708,72.8944,26.31,77,100,1.22,MV,1670273017
258,neiafu,-18.65,-173.9833,27.38,89,40,2.57,TO,1670273026
259,esperance,-33.8667,121.9,15.74,83,100,1.95,AU,1670272615
260,enshi,30.3,109.4833,5.21,91,89,0.72,CN,1670273026
261,safaga,26.7292,33.9365,20.57,57,0,8.98,EG,1670273026
262,egvekinot,66.3167,-179.1667,-14.14,84,100,5.7,RU,1670272890
263,itaueira,-7.6033,-43.0256,27.1,59,100,2.88,BR,1670273027
264,pombia,45.653,8.6336,5.7,96,22,2.57,IT,1670273027
265,namuac,18.6109,121.1657,24.97,87,86,6.06,PH,1670273028
266,alice springs,-23.7,133.8833,18.75,42,1,0.0,AU,1670272816
267,torbay,47.6666,-52.7314,4.59,96,100,1.54,CA,1670273028
268,caluquembe,-13.7833,14.6833,15.97,94,100,4.18,AO,1670273028
269,nombre de jesus,15.35,-86.6833,26.67,53,31,1.57,HN,1670273029
270,aksarka,66.5606,67.7975,-15.67,95,21,3.24,RU,1670272752
271,saurimo,-9.6608,20.3916,17.18,97,63,1.03,AO,1670273029
272,mahebourg,-20.4081,57.7,25.16,78,40,4.63,MU,1670272957
273,tefe,-3.3542,-64.7114,28.06,78,20,2.06,BR,1670273030
274,diego de almagro,-26.3667,-70.05,26.53,22,0,5.26,CL,1670273030
275,ancud,-41.8697,-73.8203,13.63,97,99,7.09,CL,1670272785
276,mani,4.8172,-72.2886,26.83,72,98,2.3,CO,1670273030
277,fenelon falls,44.5334,-78.7496,3.77,61,100,4.41,CA,1670273031
278,sur,22.5667,59.5289,22.78,63,0,1.02,OM,1670273031
279,dunedin,-45.8742,170.5036,9.33,89,100,5.81,NZ,1670273031
280,marienburg,54.0359,19.0266,3.8,89,100,2.13,PL,1670273032
281,huambo,-12.7761,15.7392,16.13,92,100,1.74,AO,1670273032
